no,w,nation,ind,industry,q1,q2,q3,q4,q5_1,q5_2,q5_3,q6,q6_o,q6_1,q7_1$,q7_2,q7_21$,q7_3,q7_3_1,q7_31$,q7_3_1b,q7_3_1bo,q8,q8_11,q8_12,q8_13,q8_14,q8_15,q8_16,q8_1o,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_o,q10,q10_11,q10_12,q10_13,q10_14,q10_1o,t1,t2,t3,t4,q11,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q11_8,q11_1o,q12,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,q12_9,q12_10,q12_11,q12_12,q12_1o,q13_1,q13_2,q13_3,q14_1,q14_2,q14_3,q14_4,q15,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_1o,q16,q16_1,q16_2,q16_3,q16_4,q16_5,q16_1o,q17,q17_1,q17_nt,q18,q19,q19_1,q19_2,q19_3,q19_4,q19_5,q19_6,q19_7,q19_8,q19_1o,q20,q20_1,q20_2,q20_3,q21,q21_1,q21_2,q21_3,q23,q22_1,q22_2,q22_1_a,q22_2_a,q22_2_b,q22_2_c,q24,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q24_8,q24_1o,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8,q25_9,q25_10,q25_11,q25_12,q25_13,q25_14,q25o
1,116,1,1,1,1,1,3,2,2,3,0,1, ,2,46620,1, ,1,1, ,1, ,1,0,0,0,0,0,0, ,0,0,0,0,5,0, ,2,1,0,0,0, ,171.6, , , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,27,8,87,31085,19047,11015,1023,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,2,500,1,2, , , , , , , , , ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,0,0, 
2,118,1,1,1,1,1,1,1,1,3,0,1, ,2,52022,1, ,1,2,52022,3, ,2,0,0,0,0,5,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,60.06,9.01,8.11, ,1, , , , , , , , , ,1,1,0,0,0,0,0,0,8,0,0,0,0, ,24,8,33,23147,19047,4100,0,1, , , , , , , ,1, , , , , , ,2,1, ,1,1,0,0,0,0,5,6,0,0, ,1,0,0,3,1,0,0,3,2, , , , , , ,1, , , , , , , , , ,0,0,3,0,5,0,0,8,9,0,0,0,0,0, 
3,114,1,1,1,2,1,3,1,2,6,0,1, ,2,41512.30159,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,0,0,0, ,171.6, , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,21,8,35,23247,19047,4200,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,2,0,4,5,0,0,0, ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,8,0,0,11,12,13,0, 
4,116,1,1,1,1,1,2,2,1,3,0,1, ,2,9999998,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,1,2,3,0, ,171.6,21.45,21.45, ,1, , , , , , , , , ,1,0,2,0,0,0,0,0,8,0,0,11,0, ,24,8,40,25324,19121,5160,1043,2,0,0,0,4,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,2,0,0,0,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,10,0,12,13,0, 
5,114,1,1,1,2,1,2,1,3,3,0,1, ,2,88800,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,1,2,3,0, ,51.48,21.02,17.16, ,2,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,7,0,9,10,0,0, ,26,8,24,22428,19047,2928,453,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,2,3500,1,1,0,0,0,0,5,0,7,0, ,1,0,0,3,1,0,0,3,3, , , , , , ,2,1,0,0,0,0,0,0,0, ,0,2,0,0,5,6,0,0,0,0,0,0,0,0, 
6,116,1,1,1,1,1,1,2,1,3,0,1, ,2,118974,1, ,1,2,70133.87935,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,0,0,0, ,137.28, , , ,2,1,0,0,0,0,0,0,0, ,1,0,2,3,0,0,0,0,0,9,0,0,0, ,25,9,47.5,25628,19047,5617,964,1, , , , , , , ,1, , , , , , ,2,2,1000,1,2, , , , , , , , , ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,11,0,13,0, 
7,114,1,1,1,2,1,3,1,3,6,0,1, ,2,81130,1, ,1,2,70133.87935,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,8,0,0,0,0, ,24,8,40,24213,19047,4200,966,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,2,0,0,0,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,4,5,6,0,0,9,0,0,0,13,0, 
8,116,1,1,1,1,1,2,2,1,2,1,1, ,2,85000,1, ,1,2,85000,1, ,1,0,0,0,0,0,0, ,0,0,0,0,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,26,8,40,25467,19121,5320,1026,1, , , , , , , ,2,0,0,3,0,0, ,2,1, ,3,2, , , , , , , , , ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,0,0, 
9,117,1,1,1,1,1,2,1,1,3,0,1, ,2,9999998,1, ,2, , , , ,2,0,0,0,4,0,0, ,1,2,3,4,5,0, ,2,1,0,0,0, ,171.6, , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,21,8,33,23007,19047,3960,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,2,0,4,5,0,0,0, ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,5,0,0,0,0,0,0,12,13,0, 
10,117,1,1,1,1,1,1,2,1,3,0,1, ,2,66600,1, ,1,1, ,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,0,0,0, ,171.6, , , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,25,8,0,19047,19047,0,0,1, , , , , , , ,1, , , , , , ,3,1, ,2,1,0,2,0,0,5,6,0,0, ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,14,教會
