no,w,city,s1,s1.1,v1,v2,v3,v4,v5_1,v5_2,v5_3,v6,v6_o,v7_1,v7_2,v7_2_1,v7_3,v7_3_1,v7_3_1a,v7_3_1b,v7_3_1bo,v8,v8_1,v8_2,v8_3,v8_4,v8_5,v8_6,v8_7,v8_o,v9_1,v9_2,v9_3,v9_4,v9_5,v9_6,v9_o,v10,v10_1,v10_2,v10_3,v10_4,v10_5,v10_o,v10_1_1,v10_2_1,v10_3_1,v10_4_1,v10_5_1,v11,v11_1,v11_2,v11_3,v11_4,v11_o,v12,v12_1,v12_2,v12_3,v12_4,v12_5,v12_6,v12_7,v12_8,v12_o,v13,v13_1,v13_2,v13_3,v13_4,v13_5,v13_6,v13_7,v13_8,v13_9,v13_10,v13_11,v13_12,v13_o,v14,v15,v15_1,v16,v16_1,v17,v18_1,v18_2,v18_3,v18_4,v19,v19_1,v19_2,v19_3,v19_4,v19_5,v19_6,v19_o,v20,v20_1,v20_2,v20_3,v20_4,v20_5,v20_6,v20_o,v21,v21_1,v21_2,v21_3,v22,v22_1,v22_2,v22_3,v23_1,v23_2,v23_1_a,v23_2_a,v23_2_b,v23_2_c,v24,v25,v25_1,v25_2,v25_3,v25_4,v25_5,v25_6,v25_7,v25_8,v25_o,v26_1,v26_2,v26_3,v26_4,v26_5,v26_6,v26_7,v26_8,v26_9,v26_10,v26_11,v26_12,v26_13,v26_14,v26_15,v26_o
1,56,1,1,2,2,1,3,1,1,2,9,1, ,6660,1, ,1,1, ,3, ,2,0,0,0,4,0,0,0, ,1,2,0,0,5,0, ,1,1,0,3,0,0, ,463.32, ,154.44, , ,1,1,2,0,0, ,2,1,0,0,0,0,0,0,0, ,2,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,2,0,1,17952,15840,2112,0,2,1,2,0,0,0,0, ,2,0,0,3,4,0,0, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0, 
2,59,1,1,2,2,1,2,2,2,3,0,1, ,72108,1, ,1,2,72108,2, ,1,0,0,0,0,0,0,0, ,1,0,0,4,5,0, ,1,1,2,3,0,0, ,321.75,128.7,257.4, , ,1,1,2,0,0, ,1,0,0,0,0,0,0,0,0, ,1,0,2,0,0,0,0,0,0,9,0,0,0, ,1,1,2,2,1,1,18552,15840,2112,600,1,0,0,0,0,0,0, ,2,0,0,3,0,0,0, ,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,7,0,0,0,11,0,13,0,0, 
3,58,1,1,2,2,1,2,1,1,3,6,1, ,72108,2,6660,1,2,72108,2, ,1,0,0,0,0,0,0,0, ,1,0,0,0,5,0, ,1,1,0,3,4,0, ,600.6, ,34.32,68.64, ,1,1,2,3,0, ,1,0,0,0,0,0,0,0,0, ,1,0,2,0,0,0,0,7,8,9,0,0,0, ,2,2,0,2,0,1,17952,15840,2112,0,2,1,0,0,0,5,0, ,1,0,0,0,0,0,0, ,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0, ,0,2,0,4,5,0,0,8,0,0,11,0,13,0,0, 
4,58,1,1,2,2,1,2,1,1,3,3,1, ,85725,1, ,1,2,85725,2, ,1,0,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1,1,2,3,0,0, ,686.4,7.99999992792,343.2, , ,1,1,2,0,0, ,2,1,0,0,0,0,0,0,0, ,1,0,2,0,0,0,0,0,0,9,0,0,0, ,1,1,1,3,0,1,17952,15840,2112,0,2,1,0,0,0,5,0, ,2,0,0,3,4,0,0, ,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,2,3,4,0,6,0,8,0,0,11,0,13,0,0, 
5,59,1,1,1,2,1,2,1,3,6,0,3, ,2000,2,0,2, , , , ,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0, ,1,1,0,3,0,0, ,107.25, ,21.45, , ,1,1,2,3,0, ,1,0,0,0,0,0,0,0,0, ,1,0,2,3,0,0,0,0,0,0,0,0,0, ,1,2,0,3,0,1,18552,15840,2112,600,2,1,0,0,0,0,0, ,2,0,0,3,0,0,0, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,5,0,0,0,9,0,11,0,0,0,0, 
6,59,1,1,2,2,1,2,1,2,3,0,1, ,85625,1, ,1,2,85625,2, ,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0, ,1,1,2,3,0,0, ,283.14,141.57,283.14, , ,1,1,2,0,0, ,1,0,0,0,0,0,0,0,0, ,2,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,.5,3,0,1,17952,15840,2112,0,1,0,0,0,0,0,0, ,2,0,0,3,4,0,0, ,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,7,8,0,0,0,0,13,0,0, 
7,56,1,1,2,2,1,3,1,2,3,1,1, ,95725,2,10000,1,2,85725,2, ,1,0,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1,1,2,3,0,0, ,283.14,7.99999992792,257.4, , ,1,1,2,0,0, ,2,1,0,0,0,0,0,0,0, ,1,0,2,3,0,0,6,7,8,9,0,0,0, ,1,1,3,3,0,1,17952,15840,2112,0,2,1,0,0,0,5,0, ,1,0,0,0,0,0,0, ,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,2,3,4,5,6,0,0,0,0,11,0,13,0,0, 
8,56,1,1,2,2,1,3,1,2,3,0,1, ,85725,1, ,1,2,85725,2, ,1,0,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1,1,2,3,0,0, ,514.8,102.96,102.96, , ,1,1,2,0,0, ,2,1,0,0,0,0,0,0,0, ,1,0,2,3,0,0,0,0,0,9,0,0,0, ,1,1,3,3,0,1,17952,15840,2112,0,2,1,0,0,0,5,0, ,2,0,0,3,4,0,0, ,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,3,0,0,6,0,0,0,0,11,0,0,0,0, 
9,59,1,1,2,2,1,2,1,2,3,0,1, ,85625,1, ,1,2,85625,3, ,2,0,0,0,4,0,0,0, ,1,0,0,4,0,0, ,1,1,2,3,0,0, ,589.875,117.975,471.9, , ,1,1,2,0,0, ,1,0,0,0,0,0,0,0,0, ,1,0,2,3,0,0,0,0,0,0,0,0,0, ,1,1,1,3,0,1,17952,15840,2112,0,1,0,0,0,0,0,0, ,2,1,0,0,0,0,0, ,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,7,0,0,0,11,0,13,0,0, 
10,61,1,1,2,2,1,1,1,2,3,0,1, ,85725,1, ,1,2,85725,2, ,1,0,0,0,0,0,0,0, ,1,0,3,0,0,0, ,1,1,2,3,0,0, ,150.15,7.99999992792,45.045, , ,1,1,2,0,0, ,1,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,8,0,0,0,0, ,1,2,0,3,0,1,18480,15840,2640,0,2,1,0,3,0,5,0, ,2,1,0,3,4,0,0, ,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0, 
