no,w,t1,t2,t19,country,gender,age,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q1a_10,q1a_11,q1a_12,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q7,q8a,q8b,q8c,q8d,q8e,q9_0_1,q9_1_1,q9_2_1,q9_3_1,q10,q10a,q11,n12,q13,q13a_1_1,q13a_1_2,q13a,n14,n14a_1_1,n14a_2_1,n14b_1_1,n14b_1_2,q15,q15a_1_1,q15a_1_2,q15b,q15c_1,q15c_2,q15c_3,q15c_4,q151,q151a,q16,q16a,q17,q17a,q18,q18a_1,q18a_2,q18a_3,q18a_4,q18b,q19,q19a,q19b_1,q19b_3,q19b_4,q20a,q20b,q20c,q20d,q20e,q20f,q20g,q21a_1,q21a_2,q21b_1,q21b_2,q21c_1,q21c_2,q21d_1,q21d_2,q21e_1,q21e_2,q21f_1,q21f_2,q21g_1,q21g_2,q21h_1,q21h_2,q22,q22a,q22b_1,q22b_2,q22b_3,q22b_4,q22b_5,q22b_6,q22b_7,q22b_8,q22c,q22d,q23,q23a,q24_1,q24_2,q24_3,q25,q25a_1,q25a_2,q25a_3,q25a_4,q25a_5,q25a_6,q25a_7,q25a_8,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7
B0110001,8.89290894861159,1,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,3,1,2,1,1,1,21587,19047,2540,0,1, ,1,1,2, , ,0,1,7,19,3,0,3, , ,1,1,1,1,0,2,1,1,5,1,3,1,1,0,0,0,1,1, ,0,0,0,3,3,2,3,2,2,2,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,2,1,0,1,1,1,1,0,0,2,1,2, ,0,0,1,2,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
B0110002,9.10634035593653,1,3,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,3,1,4,2,1,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,8,21.5,2,30,3, , ,1,1,0,0,0,1, ,2, ,1,2,1,1,1,0,0,2,1, ,0,0,0,2,2,2,2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,2,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0
B0110004,8.76538350195887,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,3,2,1,0,0,0,0,3,1,3,2,1,1,19268,17000,2268,0,1, ,1,1,1,3,10,3.166666667,1,8,20,4,0,3, , ,1,1,0,0,0,1, ,1,1,1,2,2,0,0,0,0, ,1, ,0,0,0,4,3,4,4,3,3,4,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,0,1,0,0,0,1,0,0,1,1,1,2,0,0,1,2,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0
B0110007,8.89290894861159,1,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,1,2,1,1,1,17000,17000,0,0,1, ,1,1,1,3,10,3.166666667,1,7,18.5,5,0,1,4,8, ,0,0,0,0,1, ,1,1,2, ,1,1,1,0,0,2,1, ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B0110008,8.76538350195887,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,1,3,1,1,1,19000,17000,0,2000,1, ,2,1,1,3,0,3,2,7,20,1,50,1,4,10, ,0,0,0,0,2,1,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0
B0110009,8.89290894861159,1,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,1,0,0,0,0,0,3,1,2,1,1,2,19268,17000,2268,0,3,1,1,1,2, , ,0,2,7,20,3,0,3, , ,1,1,0,0,0,1, ,1,5,1,3,1,1,1,0,0,1,1, ,0,0,0,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,1,1,1,0,2,1,1,2,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
B0110013,66.487258504572,1,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,3,2,2,2,1,2,23268,17000,2268,4000,1, ,1,1,1,1,0,1,2,7,21,1,50,3, , ,1,1,0,0,0,1, ,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,4,3,3,3,2,3,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B0110014,65.533822751827,1,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,3,2,3,1,1,1,22835,17000,2835,3000,1, ,1,1,1,4,0,4,2,7,20,4,0,2,1,11,1,0,0,0,0,2,1,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,2,1,2, ,0,0,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
B0110016,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,4,1,0,0,0,0,0,3,2,2,1,1,1,19268,17000,2268,0,1, ,1,1,1,2,10,2.166666667,2,7,21,1,50,3, , ,1,1,0,0,0,1, ,2, ,3, ,1,1,1,0,0,2,1, ,0,0,0,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,0,1,1,0,2,1,2, ,0,0,1,2,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0
B0110021,65.533822751827,1,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,3,2,3,2,1,2,19268,17000,2268,0,1, ,1,1,2, , ,0,2,7,20,1,50,3, , ,1,1,0,0,0,1, ,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,0,1,0,1,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0110022,73.3517067028594,1,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,3,2,1,1,1,1,18701,17000,1701,0,1, ,1,1,2, , ,0,2,7,21,1,50,2,1,11,1,0,0,0,0,2,1,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0110026,65.533822751827,1,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1,0,0,0,0,3,2,3,2,1,2,17000,17000,0,0,1, ,1,1,1,3,0,3,2,7,20,1,50,1,4,10, ,0,0,0,0,2,1,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,2,1,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0110027,65.533822751827,1,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,1,1,2,18701,17000,1701,0,1, ,1,1,1,3,0,3,2,7,20,1,50,2,1,10,1,0,0,0,0,2,1,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0
B0110030,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,4,2,1,1,1,1,0,3,2,2,2,1,1,20701,17000,1701,2000,1, ,2,2,1,2,0,2,2,6.5,23,4,10,2,1,10,1,0,0,0,0,2,1,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,2,3,2,3,2,3,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0
