no,w1,w2,w3,industry,scale,q1,q1b_1,q1b_2,q1b_3,q1b_4,q1b_5,q1b_6,q1b_7,q1b_8,q1b_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2b,q2bb_1,q2bb_2,q2bb_3,q2bb_4,q2bb_5,q2bb_6,q2bb_7,q2bb_8,q2bb_9,q2bb_10,q3,q3a,q4,q4b_1,q4b_2,q4b_3,q4b_4,q4b_5,q4b_6,q4b_7,q4b_8,q4b_9,q4b_10,q5,q5a,q5b,q5c_1,q5c_2,q5c_3,q5c_4,q5c_5,q5c_6,q5c_7,q5c_8,q5c_9,q5d,q5e_1,q5e_2,q5e_3,q5e_4,q5e_5,q5e_6,q5e_7,q5e_8,q5e_9,q6,q6a_2,q6a_3,q6a_4,q6a_5,q6b,q6q6b,q7a,q7b,q7b_1,q7b_2,q7c,q7c_1,q7c_2,q7c_3,q8a0,q8a,q8b0,q8b,q8c0,q8c,q9,q9a2,q9a3,q10,q11,q11a1,q11b1,q11a2,q11b2,q11a3,q11b3,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q13,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_7,q16,q16a,q16b_1,q16b_2,q16b_3,q16b_4,q16b_5,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17a_5,q17a_6,q17a_7,q17a_8,q17a_9,q18a,q18b,q18c,q18d,q18e,q18f,q19,q19a,q20_1,q20_2,q20_3,q21,q21a_1,q21a_2,q21a_3,q21a_4,q21a_5,q21a_6,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q23,q23a,q23b,q23c,q23ca,q23caa,q23cb,q24,q24a_1,q24a_2,q24a_3,q24a_4,q24a_5,q24a_6,q24a_7,q24a_8,q24a_9,q24a_10
BA10056,9.53846153846154,12.5831381733021,25.1662763466042,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,1,0,1,0,0,0,0,0,2,0,2,0,0,9,11,9,177,168,9,27520,26000,1520,0,1,3,1,7,2, ,2,1, ,2,2, , ,1, , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2, ,0,0,1,2,0,0,1,1,1,0,1,0,1,1,0,0,0,0,2,1,1,3, , , ,2,0,0,1,1,0,0,0,0,0,0
BA10108,9.53846153846154,12.5831381733021,25.1662763466042,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,2,0,0,2,0,11,13,9,184.5,168,16.5,27968,25500,2468,0,2, ,2, ,2, ,2,1, ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,2,2,2, ,0,0,1,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,3,1,3, , , ,2,1,0,0,1,0,0,0,0,0,0
BA14599,9.53846153846154,12.5831381733021,25.1662763466042,1,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,1,0,0,1,0,1,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,2,2,0,0,0,17,19,9,168,168,0,24000,24000,0,0,2, ,1,3,2, ,1, , ,1,1,1, , , , , ,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2, ,0,0,1,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,2,1,1,3, , , ,2,1,0,1,1,0,0,1,0,1,0
BA20257,8.86868686868687,9.0734693877551,108.881632653061,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,12,12,0,0,0,79,91,9,214,168,46,30581,24000,6581,0,2, ,1,6,1,3,2,1, ,1,1,2,2000, , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,4,3,3,2, ,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,3, , , ,2,1,0,0,0,0,0,0,0,1,0
BD35073,4.28571428571429,4.05741626794258,101.435406698565,4,3,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,1,0,1,0,0,0,0,0,25,0,0,25,0,112,137,9,168,168,0,24000,24000,0,0,2, ,1,5,2, ,2,1, ,1,1,2,1250, , , , ,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,2,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BD40591,4.25,4.48936170212766,179.574468085106,4,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,10,1,1,0,0,0,0,1,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,1,0,0,1,0,0,40,9,31,0,0,213,253,9,210,168,42,31586,24000,5586,2000,1,6,1,6,2, ,2,1, ,1,2, , ,2,1800, , ,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,4,3,3,1,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,2,1,0,0,0,0,1,0,0,0,0
BE35103,1.3,1.55060728744939,43.4170040485829,5,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,28,28,0,0,0,74,102,9,171,168,3,26160,25680,480,0,2, ,1,5,2, ,2,1, ,1,1,1, , , , , ,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,1,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BF15116,9.33333333333333,11.872,35.616,6,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,10,9,205,168,37,31415,25000,5415,1000,1,6,1,6,2, ,2,1, ,1,1,2,2000, , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,3,3,2,2, ,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0,2,1,1,3, , , ,2,1,0,0,0,0,1,0,0,0,0
BG10737,10.2545454545455,11.2269938650307,22.4539877300614,7,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,2,2,0,0,0,10,12,9,168,168,0,24000,24000,0,0,2, ,2, ,2, ,2,1, ,2,2, , ,2,2000, , ,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2, ,0,0,1,2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,2,2,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BG15200,10.2545454545455,11.2269938650307,44.9079754601228,7,1,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,2,4,1,1,0,1,1,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,4,2,2,0,0,14,18,9,168,168,0,24100,24100,0,0,2, ,1,7,2, ,1, , ,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2, ,0,0,1,2,1,0,1,1,0,0,0,0,1,1,1,0,0,0,2,1,1,3, , , ,2,1,0,1,0,1,0,1,0,0,0
