no,w,county,country,gender,age,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a_2,q9a_3,q10,q11,q11a_1,q11a_2,q11a_3,q12,q12a1_1,q12a2_1,q12a1_2,q12a2_2,q12b_2,q12b_3,q12c_1,q12c_2,q12c_3,q12c_4,q121,q121a,q13,q13a_1,q13a_2,q13a,q14,q14a_1_1,q14a_2_1,q14b_1_1,q14b_2_1,q14a_1_2,q14a_2_2,q14b_1_2,q14b_2_2,q15,q15a,q16,q16a,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17b,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22_1,q22_2,q22_3,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25,q25a,q25b,q25ba,q25baa,q25bb
FKI7233,51.85931391,11,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,1,2,2,3,1,2,4, , ,1,19510,17215,2295,0,3, , , , , ,1,1,0,0,0,1, ,1,4,0,4,1,6,8,3,0, , , , ,2, ,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,5,4,4,4,3,5,4,1,3,1,0,0,1,1,0,0,0,2,1,2, ,0,0,1,2,1,1,0,1,0,0,1,0,1,1,0,0,0,1, , , , , 
FEI1958,58.99433596,6,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,2,1,1,2,1, , ,1,19268,17000,2268,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,7,9,3,0,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,1,1,0,0,1,1,1,0,0,0,2,1,2, ,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FEV2171,81.71428338,6,33,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,1,2,4,1,4,1,1, , ,1,19835,17000,2835,0,3, , , , , ,1,1,0,0,0,1, ,1,3,0,3,1,9,5,2,0, , , , ,2, ,1,3,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,2,2,2,1,1,2,1,3,0,1,0,0,1,1,0,0,2,4,2, ,0,0,1,2,0,0,1,1,0,0,0,0,1,1,1,0,0,1, , , , , 
FNI7551,59.57502741,14,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,2,2,2,3,1,2,3, ,1,1,19267,17000,2267,0,3, , , , , ,1,1,1,0,0,1, ,2, , , ,2, , , , ,7,8,3.5,0,2, ,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,3,2,1,1,1,0,0,0,1,0,1,0,2,1,2, ,0,0,1,2,0,1,0,1,1,0,1,1,1,0,0,0,0,1, , , , , 
FGV6739,76.87184992,3,33,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,2,3,1,4,2,1, , ,1,18000,17000,1000,0,2, , ,1,6,1, ,0,0,0,0,2,1,1,3.07,0,3.07,1,7.5,8,3,0, , , , ,1,1,1,2,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,3,2,1,1,1,1,1,0,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1, , , , , 
FEI1955,58.99433596,6,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,5,2,1,0,0,0,1,2,2,1,1,2,3, ,1,1,19267,17000,2267,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,1,6,11,8,0, , , , ,2, ,3, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,1,3,2,3,2,1,1,0,0,1,1,1,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1, , , , , 
FNI3416,59.57502741,14,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,1,1,0,0,1,2,2,2,1,2,2,1, ,2,18930,18930,0,0,3, , , , , ,2,0,0,1,0,2,2,2, , , ,2, , , , ,7,9,3.5,0,2, ,2, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,3,2,2,2,1,1,1,0,0,0,1,0,1,0,2,1,2, ,0,0,1,2,1,0,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FBI1051,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,3,2,1,1,1,0,1,2,3,2,1,1,1, , ,2,24385,17000,2385,5000,3, , , , , ,1,1,1,0,1,1, ,2, , , ,2, , , , ,7,9,3,0,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
FGI6644,61.09423638,3,9,2,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,2,2,1,1,2,1, ,1,19835,17000,2835,0,3, , , , , ,1,0,0,0,1,1, ,1,3.4,0,3.4,2, , , , ,7,9,3.5,0,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,5,3,5,5,4,3,1,1,1,0,0,0,1,0,1,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
FDI5770,57.91173586,5,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,1,0,0,0,0,1,2,3,2,1,1,1, , ,1,20000,17000,3000,0,3, , , , , ,1,1,1,1,0,2,1,2, , , ,2, , , , ,7,8,2,0,1,2,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,2,2,1,1,0,0,1,1,1,0,0,0,2,1,2, ,0,0,1,2,1,0,1,1,0,0,1,0,1,0,0,0,0,1, , , , , 
