no,w,county,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q2a_10,q2a_11,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a,q10,q11,q11a_1,q11a_2,q11a_3,q12,q12a2,q12b,q12c_1,q12c_2,q12c_3,q12c_4,q121,q121a,q13,q13a_1,q13a_2,q14,q14a_1,q14a_2,q14b_1,q14b_2,q15,q15a,q16,q16a,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17a_5,q17b_1,q17b_2,q17b_3,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22_1,q22_2,q22_3,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25,q25b,q25ba,q25baa,q25baao,q25bb
375,51.56331028,12,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,2,2,1,1,1,2,2,1,20000,20000,0,0,2,13,2,0,0,0,0,1, ,2, , ,1,7,8,2,40,2, ,3, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,1,0,1,1,0,0,0,1, , , , , 
417,50.57779133,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,4,1,1,2,1, ,3,24000,21000,3000,0,3, ,1,0,1,0,0,1, ,2, , ,2,7,8,2,50,2, ,2, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,1,1,0,0,0,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
445,5.028115897,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,1,2,1,1, ,1,19510,19510,0,0,1,9, ,0,0,0,0,1, ,1,4,0,2,8,5,1,30,2, ,3, ,1,1,0,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,2,3,3,1,3,1,0,1,0,0,0,0,0,4,4,2, ,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1, , , , , 
789,51.91834965,9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,19835,17000,2835,0,3, ,1,0,0,1,0,2,1,2, , ,2,7,8,5,0,1,1,3, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
906,53.35511631,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,5,2,2,1,1,0,0,0,1,2,2,1,1,2,1, ,2,21640,18872,2268,500,3, ,1,1,0,1,0,2,1,2, , ,1,8,8,3,0,1,1,2, ,1,1,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,4,4,2,5,2,4,5,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
977,89.10597169,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,4,1,4,2,4, ,1,18943,18943,0,0,1,24, ,0,0,0,0,1, ,2, , ,1,8,8,2,30,2, ,2, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,4,4,3,4,3,4,4,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
986,53.04284481,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,0,2,2,2,1,1,1,2,1,1,19268,17000,2268,0,3, ,1,0,1,1,0,2,1,1,0,10,2,6,10,2,0,2, ,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,1,2,1,1,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
1152,39.26976994,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,2,3,2,2,2,2,1,1,18701,17000,1701,0,2,14,1,0,0,0,0,1, ,2, , ,2,7,9,1,30,2, ,1,2,1,1,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,3,2,3,1,3,1,0,0,0,0,1,1,0,1,4,1,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
1292,53.2302111,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,0,1,0,0,0,1,2,3,1,1,2,1, ,1,19268,17000,2268,0,3, ,1,1,0,1,0,2,1,1,0,30,2,6,9,2,0,1,1,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,1,2,3,2,3,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1, , , , , 
1319,52.04017657,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1,0,0,0,0,0,1,2,2,1,1,1,1, ,1,19268,17000,2268,0,2,15,1,0,0,0,0,1, ,1,2,0,2,6,9,4,0,2, ,1,2,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,3,3,2,3,2,1,1,1,0,1,1,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1, , , , , 
