no,w,t1,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q2,q3,q4,q4a_1,q4a_2,q4a_3,q4a_4,q5,q5a_1,q5a_2,q5a_3,q5a_4,q5a_5,q5a_6,q5a_7,q5a_8,q5a_9,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q6a_6,q6a_7,q6a_8,q6a_9,q6a_10,q6a_11,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a_2,q9a_3,q10,q11,q11a_1,q11a_2,q11a_3,q12a,q12a11_1,q12a11_2,q12a11_3,q12b,q12c,q13,q13a,q14,q14a1,q14b1,q14a2,q14b2,q15,q15a,q16,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17a_5,q17b_1,q17b_2,q17b_3,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22,q22a_1,q22a_2,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7
1,7.5726012177994,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,1,1,4,2,1,1,1, , ,2,25000,22000,3000,0,2,0,0,0,24,1,1,1,2, , ,12,2,1,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,3,3,2,3,2,1,2,0,1,0,0,1,0,1,0,2,1,1,1,2,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0
2,7.13992553410983,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,1, ,1,22000,20000,0,2000,3,0,0,0,12,3,1,2.5,2, , ,15,1.5,1,1,2,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1
3,53.5929673164185,1,1,1,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,1, , ,1,25668,20000,2668,3000,5,0,1,0, ,1,1,3.5,2, , ,16,5,1,2,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,0,0,0,1,0,0,4,1,1,2,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1
4,53.5929673164185,1,1,1,0,0,1,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,1, , ,1,22668,20000,2668,0,5,1,0,0, ,1,2, ,2, , ,14.5,1.5,1,1,2,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
5,53.5929673164185,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,1, , ,1,22700,20000,2700,0,5,1,0,0, ,1,2, ,2, , ,14,2,1,1,2,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1
6,53.5929673164185,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,1, , ,1,19268,17000,2268,0,1,0,0,0,12,1,1,1.5,2, , ,13,3.5,1,1,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,3,2,3,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
7,56.0079821446322,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1, , ,1,24000,22000,1000,1000,1,0,0,0,24,1,1,3.5,2, , ,15,3,1,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,1,2,2,2,1,1,1,0,1,1,0,0,0,0,2,1,2, ,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
8,56.8406725850246,1,0,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,2,4,1,1,1,1, , ,1,24872,22000,1000,1872,1,0,0,0,8,1,1,5,2, , ,10,2,2, ,3,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,3,4,3,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,1,0,2,0,1,1,1,0,0,1,0,1,0,1,0,0
9,53.5929673164185,1,1,1,1,1,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,1,0,1,2,3,2,1,1,1, , ,1,21500,20000,1500,0,1,0,0,0,24,1,1,5,2, , ,14,4,1,1,3,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,5,3,5,5,4,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0
10,56.0079821446322,1,1,1,1,1,1,0,1,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1, , ,1,22159,17091,3068,2000,5,1,0,0, ,1,2, ,1,14.5,6.5, , ,1,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
11,53.5929673164185,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,1, , ,2,25268,23000,2268,0,5,1,0,0, ,1,2, ,2, , ,14,2,1,1,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,1,1,0,0,1,1,1,0,0,0,2,1,2, ,3,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0
12,56.0079821446322,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,1,0,0,1,2,2,2,1,1,1, , ,2,19268,17000,2268,0,1,0,0,0,24,1,1,1,1,12,2, , ,1,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,4,3,5,3,4,4,1,1,1,0,0,0,0,0,0,0,1,4,2, ,3,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0
13,56.8406725850246,1,1,1,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,1,1,1, , ,1,20000,20000,0,0,3,0,0,0,10,3,1,4.5,2, , ,14,2,1,1,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0
14,53.5929673164185,1,1,1,1,0,0,0,3,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,2,3,1,1,1,1, , ,2,21433,19165,2268,0,2,0,0,0,8,1,2, ,2, , ,14,4,1,1,2,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,3,1,3,1,1,1,1,0,1,1,0,0,0,0,4,3,2, ,3,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0
15,56.0079821446322,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1, , ,1,22668,20000,2668,0,2,0,0,0,24,1,1,2.5,2, , ,10,4,1,2,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
16,53.5929673164185,1,1,1,1,1,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,1, , ,1,21000,20000,0,1000,3,0,0,0,12,3,1,2.5,2, , ,9,2,1,1,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
17,56.8406725850246,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,1, , ,1,22001,20000,2001,0,2,0,0,0,12,1,1,2,2, , ,12,3,1,1,3,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,3,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1
18,53.5929673164185,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,1, , ,1,22001,20000,2001,0,2,0,0,0,12,1,1,2,2, , ,12,5,1,1,3,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1
19,56.0079821446322,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1, , ,1,21000,20000,0,1000,4,0,0,0,12,2,1,.38,2, , ,10,4.5,1,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,3,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
20,56.0079821446322,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,2,2,1,1,1,1, , ,1,22668,20000,2668,0,1,0,0,0,14,1,1,1.5,2, , ,12,4,1,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,2,2,2,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0,2,0,0,1,1,1,0,1,1,1,0,0,0,0
21,56.8406725850246,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,2,1, , ,1,19400,17000,2400,0,5,1,0,0, ,1,1,2,2, , ,13,3,1,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,1,0,2,0,1,0,1,0,0,1,1,1,0,0,0,0
