no,w1,w2,w3,industry,scale,q1,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q2a_10,q3,aq3,aq3a,q3b,q3c_1,q3c_2,q3c_3,q3c_4,q3c_5,q3c_6,q3c_7,q3c_8,q3e_1,q3e_2,q3e_3,q3e_4,q3e_5,q3e_6,q3e_7,q3e_8,q4,q4a_1,q4a_2,q4a_3,q4a_4,q4a_5,q4a_6,q4a_7,q4a_8,q4a_9,q4b,q4bb_1,q4bb_2,q4bb_3,q4bb_4,q4bb_5,q4bb_6,q4bb_7,q4bb_8,q4bb_9,q4bb_10,q5,q5b_1,q5b_2,q5b_3,q5b_4,q5b_5,q5b_6,q5b_7,q5b_8,q5b_9,q5b_10,q5b_11,nq6b,nq6c_1,nq6c_2,nq6c_3,nq6c_4,q7a,q7b,q7bb,q7ca,q7cb,nq7d,nq7db,nq7dc,q8,q8a2,q8a3,q9,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q14,q14a,q14b_1,q14b_2,q14b_3,q14b_4,q14b_5,q15a_1,q15a_2,q15a_3,q15a_4,q15a_5,q15a_6,q16,q16a,q17,q17a_1,q17a_2,q18,q18a_1,q18a_2,q18a_3,q18a_4,q18a_5,q19_1,q19_2,q19_3,q19_4,q19_5,q19_6,q19_7,q19_8,q19_9
75,10.020618556701,10.3803786574871,62.2822719449226,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,11,152,10,27470,1530,5000,27470,0,2,1, ,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,4,4,4,4,4,4,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,8.79393939393939,8.79549950544016,105.545994065282,17,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,11,152,15,27470,2869,0,24972,0,1, , ,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,3,1,1,1,0,0,5,5,5,5,5,5,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
137,9.8909626719057,9.74668275030157,38.9867310012063,17,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,152,0,27470,0,0,8360,0,1, , ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
161,9.23076923076923,11.0825958702065,731.451327433629,1,4,3,1,1,0,0,0,1,0,1,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,0,66,0,0,11,152,36,27470,5508,0,0,0,2,1, ,1,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,1,0,0,1,3,1,1,1,1,0,5,5,5,4,5,5,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
162,9.4,9.05021520803443,81.4519368723099,16,2,3,1,1,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,9,2,6,1,0,11,152,40,27470,7000,5000,4000,0,2,1, ,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2, ,0,0,0,0,0,3,3,3,3,4,4,1,2,2,0,0, ,0,0,0,0,0,1,1,1,0,1,0,1,0,0
165,10.020618556701,10.3803786574871,10.3803786574871,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,152,0,27470,0,1000,30470,0,1, , ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,5,5,5,5,5,5,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
169,9.80952380952381,10.1841831425598,81.4734651404784,14,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,11,152,0,27470,0,0,28000,0,1, , ,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,4,4,4,3,3,4,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,8.79393939393939,8.79549950544016,87.9549950544016,17,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,11,152,0,27470,0,12000,20000,0,2,1, ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,3,4,4,1,2,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
199,8.11111111111111,10.9377777777778,207.817777777778,22,3,1,1,1,0,1,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,1,1,0,19,0,1,18,0,11,152,12,27470,1970,0,23600,0,2,1, ,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,3,3,3,2,4,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207,11.038961038961,13.0452261306533,65.2261306532665,22,1,1,1,1,0,0,1,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,11,152,0,27470,0,7500,5000,0,2,1, ,1,0,1,0,0,0,0,0,0,0,0,1,0, ,1,0,0,0,0,0,1,3,1,1,0,0,0,4,4,3,3,4,4,1,1,1,1,0,2,1,1,1,0,0,1,1,1,1,1,1,1,0,0
