no,w,j1,j2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q2,q3,q4,q4a_1,q4a_2,q4a_3,q4a_4,q5,q5a_1,q5a_2,q5a_3,q5a_4,q5a_5,q5a_6,q5a_7,q5a_8,q5a_9,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q6a_6,q6a_7,q6a_8,q6a_9,q6a_10,q6a_11,q7,q8a,q8b,q8c,q8d,q8e,nq9a_1,nq9a_2,nq9b_1,nq9b_2,nq10a,nq10ab,q10b,nq10bb,q11,q11a2,q11a3,q12,q13a,q13ab,nq13b,q14,q15,nq15a,nq15b,q16,q16a,q17,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19,q19a,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q20_7,q21,q21a,q21b_1,q21b_2,q21b_3,q21b_4,q21b_5,q21b_6,q21b_7,q21b_8,q21c,q21d,q22,q22a,q23,q23a_1,q23a_2,q24,q24a_1,q24a_2,q24a_3,q24a_4,q24a_5,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8
49,9.2,11,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,1,6,6,3,0,22500,2001,2,0,1, , ,1,3,1,12,1,1,1,0,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,1
61,49.375,5,1,1,1,1,1,1,0,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,8.5,9.5,3,30,20000,3335,2,4500,1, , ,1,5,1, ,1,1,1,0,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1
162,49.375,5,1,1,1,1,1,1,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,7,2,0,22000,0,2,10000,2,1, ,3,1, ,12,1,1,1,0,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,0,0,0,0,0
549,49.375,5,1,1,1,1,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,1,7.5,9.5,4,0,20000,2668,2,10000,1, , ,1,2,1,24,2,1,0,48,1,1,2,1, , , , , , , , , ,1,2,3,3,3,3,3,4,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,1,0,0,0,0,0
659,51.4490566037736,6,1,1,1,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,2,8,6,2,0,20000,2001,2,20000,1, , ,1,3,1,24,1,1,2,0,1,1,2,1, , , , , , , , , ,1,2,1,1,3,1,1,1,1,1,3,0,0,1,0,1,0,0,0,2,3,1,2,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
696,33,10,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,3,2,4,1,7,9,3,0,22000,3335,2,9338,1, , ,1,5,1, ,1,2, , ,2, ,3,1, , , , , , , , , ,2, ,2,2,2,2,2,2,1,1,1,0,0,1,1,0,1,0,0,1,4,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
840,45.4805194805195,1,1,1,1,1,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,1,8,9,3,0,21990,3000,2,6000,1, , ,2,2,1,11,1,2, , ,1,2,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
1282,52.084388185654,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,6,8.5,2,30,20000,2668,2,30000,1, , ,1,2,1,6.5,1,1,2,30,1,1,2,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,1,3,0,1,1,1,0,0,0,0,1,4,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
1312,54.3766233766234,13,1,1,1,0,1,0,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,1,7,6,2,0,23000,3335,2,0,1, , ,1,5,1, ,1,1,2,0,1,4,1,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,1,3,1,1,0,1,0,0,0,0,3,3,1,2,2,0,0, ,0,0,0,0,0,1,0,0,0,0,0,0,0
1754,4.72727272727273,21,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,8,9,3,0,21000,4667,2,2000,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1986,39.6666666666667,20,1,1,1,1,0,0,0,4,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,9,9,2,0,23000,0,2,36000,1, , ,1,1, ,24,1,1,4,0,1,1,2,1, , , , , , , , , ,2, ,1,1,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,2,1,1,1,1,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0
2627,52.084388185654,2,1,1,1,0,0,0,0,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,9,6,1,0,17000,0,2,15000,1, , ,1,1, ,24,1,1,7,0,1,1,3,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2823,51.9903846153846,4,1,1,1,1,0,0,0,2,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,7.5,9,1,30,23000,3335,2,1200,1, , ,1,5,1, ,1,2, , ,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,1,1,0,1,1,0,0,0,0,1,1,2, ,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0
