"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"106年底","合計",52317,23785,2576,829,25126,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年底","男",20916,3971,419,684,15841,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年底","女",31401,19814,2157,145,9285,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 2月底","合計",53810,24082,2552,891,26284,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 2月底","男",22117,4023,394,737,16962,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 2月底","女",31693,20059,2158,154,9322,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 3月底","合計",54150,24121,2577,893,26558,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 3月底","男",22253,3978,395,739,17140,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 3月底","女",31897,20143,2182,154,9418,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 4月底","合計",53320,23678,2549,888,26204,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 4月底","男",21813,3900,382,737,16793,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 4月底","女",31507,19778,2167,151,9411,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 5月底","合計",53017,23504,2541,879,26092,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 5月底","男",21674,3884,383,724,16682,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 5月底","女",31343,19620,2158,155,9410,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 6月底","合計",52904,23597,2526,874,25906,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 6月底","男",21472,3894,380,718,16479,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 6月底","女",31432,19703,2146,156,9427,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 7月底","合計",53260,23878,2546,869,25966,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 7月底","男",21555,3952,389,715,16498,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 7月底","女",31705,19926,2157,154,9468,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 8月底","合計",52322,23581,2548,852,25340,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 8月底","男",21035,3907,397,704,16026,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 8月底","女",31287,19674,2151,148,9314,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 9月底","合計",52509,23672,2577,850,25409,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 9月底","男",21117,3942,410,701,16063,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 9月底","女",31392,19730,2167,149,9346,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 10月底","合計",52891,23841,2578,845,25626,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 10月底","男",21285,3985,413,695,16191,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 10月底","女",31606,19856,2165,150,9435,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 11月底","合計",52375,23697,2575,830,25272,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 11月底","男",21001,3952,419,684,15945,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 11月底","女",31374,19745,2156,146,9327,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 12月底","合計",52317,23785,2576,829,25126,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 12月底","男",20916,3971,419,684,15841,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"106年 12月底","女",31401,19814,2157,145,9285,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年底","合計",51482,24053,2693,839,23896,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年底","男",19956,4038,472,700,14745,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年底","女",31526,20015,2221,139,9151,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 1月底","合計",51788,23760,2596,821,24610,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 1月底","男",20463,3923,427,678,15434,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 1月底","女",31325,19837,2169,143,9176,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 2月底","合計",51639,23729,2581,815,24513,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 2月底","男",20306,3883,422,672,15328,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 2月底","女",31333,19846,2159,143,9185,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 3月底","合計",51587,23707,2573,801,24505,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 3月底","男",20263,3845,425,661,15331,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 3月底","女",31324,19862,2148,140,9174,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 4月底","合計",51441,23694,2591,787,24368,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 4月底","男",20128,3838,430,648,15211,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 4月底","女",31313,19856,2161,139,9157,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 5月底","合計",51415,23606,2620,795,24393,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 5月底","男",20158,3848,439,658,15212,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 5月底","女",31257,19758,2181,137,9181,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 6月底","合計",51404,23740,2614,801,24248,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 6月底","男",20032,3870,430,661,15070,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 6月底","女",31372,19870,2184,140,9178,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 7月底","合計",51999,24043,2652,809,24494,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 7月底","男",20295,3933,450,670,15241,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"107年 7月底","女",31704,20110,2202,139,9253,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
