"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"93年底","合計",16593,3584,2432,1928,8647,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年底","男",4342,489,225,1610,2017,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年底","女",12251,3095,2207,318,6630,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 10月底","合計",16295,3668,2331,1835,8457,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 10月底","男",4320,478,228,1545,2067,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 10月底","女",11975,3190,2103,290,6390,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 11月底","合計",16646,3645,2368,1887,8744,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 11月底","男",4417,491,222,1584,2119,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 11月底","女",12229,3154,2146,303,6625,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 12月底","合計",16593,3584,2432,1928,8647,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 12月底","男",4342,489,225,1610,2017,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"93年 12月底","女",12251,3095,2207,318,6630,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年底","合計",21679,3749,3225,2609,12079,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年底","男",5496,557,313,2197,2419,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年底","女",16183,3192,2912,412,9660,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 1月底","合計",16521,3483,2472,1893,8669,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 1月底","男",4233,477,229,1579,1945,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 1月底","女",12288,3006,2243,314,6724,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 2月底","合計",16805,3394,2508,1942,8957,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 2月底","男",4284,476,227,1620,1958,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 2月底","女",12521,2918,2281,322,6999,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 3月底","合計",17352,3299,2611,2005,9433,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 3月底","男",4469,475,240,1675,2076,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
